packagedElement,7
addRef,6
type,16
Generalization,22
movRef,49
classifier,43
create,1
PrimitiveType,39
enumeration,56
ownedOperation,12
actual,30
upperValue,21
TemplateParameterSubstitution,28
visibility,9
boundElement,54
unsAtt,50
LiteralUnlimitedNatural,19
generalization,23
qualifier,40
name,5
ownedLiteral,44
Class,10
setAttr,4
Package,8
isStatic,34
ownedParameter,14
association,51
Operation,11
interface,55
nestedClassifier,31
delete,47
general,24
setRef,15
Association,36
remRef,45
unsRef,46
parameterSubstitution,29
class,2
value,20
Property,33
EnumerationLiteral,42
direction,32
memberEnd,37
Enumeration,41
TemplateBinding,26
owningAssociation,52
lowerValue,18
ownedEnd,38
specific,48
associationEnd,53
LiteralInteger,17
templateBinding,27
Model,3
Parameter,13
ownedAttribute,35
Interface,25
